onetsoc,title,job_zone,job_zone_name,VA,AR,CM,SA,FP,CP,MC,MD,FD,n_descriptors_used,missing_flags,abilities_date
15-1244.00,Network and Computer Systems Administrators,4,Job Zone Four: Considerable Preparation Needed,7.53,6.49,6.45,6.38,6.00,6.00,4.13,4.38,4.82,17,,07/2017
15-1251.00,Computer Programmers,4,Job Zone Four: Considerable Preparation Needed,7.15,6.85,6.85,5.63,5.76,5.76,2.00,2.50,3.07,17,,08/2018
15-1252.00,Software Developers,4,Job Zone Four: Considerable Preparation Needed,7.45,6.79,6.46,4.76,5.37,5.37,3.25,2.88,3.06,17,,08/2025
15-1253.00,Software Quality Assurance Analysts and Testers,4,Job Zone Four: Considerable Preparation Needed,7.95,6.30,5.93,5.37,6.24,6.24,2.88,3.38,3.44,17,,08/2022
15-1254.00,Web Developers,3,Job Zone Three: Medium Preparation Needed,7.19,6.30,6.21,6.74,6.12,6.12,3.00,3.50,4.38,17,,07/2017
15-1255.01,Video Game Designers,4,Job Zone Four: Considerable Preparation Needed,7.54,6.66,6.66,7.00,5.88,5.88,2.12,3.06,3.56,17,,08/2022
15-1299.01,Web Administrators,4,Job Zone Four: Considerable Preparation Needed,7.74,5.47,5.35,5.76,5.63,5.63,1.76,2.82,3.63,17,,08/2018
15-1299.02,Geographic Information Systems Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,7.46,7.21,7.04,6.63,5.25,5.25,3.74,3.68,3.62,17,,08/2024
15-1299.03,Document Management Specialists,4,Job Zone Four: Considerable Preparation Needed,7.69,5.38,5.26,5.50,5.63,5.63,1.37,2.56,3.06,17,,08/2021
15-1299.05,Information Security Engineers,4,Job Zone Four: Considerable Preparation Needed,7.91,5.57,5.53,5.00,6.37,6.37,3.75,2.82,3.07,17,,08/2025
15-1299.08,Computer Systems Engineers/Architects,3,Job Zone Three: Medium Preparation Needed,8.01,6.33,6.33,6.00,6.00,6.00,2.24,2.75,3.12,17,,08/2024
15-1299.09,Information Technology Project Managers,4,Job Zone Four: Considerable Preparation Needed,8.13,6.40,6.44,5.88,5.50,5.50,1.24,1.12,2.25,17,,08/2019
15-2011.00,Actuaries,4,Job Zone Four: Considerable Preparation Needed,8.26,10.05,9.85,5.00,5.63,5.63,2.00,1.50,2.00,17,,08/2023
15-2021.00,Mathematicians,5,Job Zone Five: Extensive Preparation Needed,8.56,11.17,10.71,5.63,5.76,5.76,1.50,1.25,2.00,17,,08/2025
15-2031.00,Operations Research Analysts,5,Job Zone Five: Extensive Preparation Needed,8.23,9.92,9.63,4.74,5.25,5.25,1.76,1.38,1.76,17,,08/2024
15-2041.00,Statisticians,5,Job Zone Five: Extensive Preparation Needed,8.64,10.31,10.22,5.37,5.76,5.76,2.37,1.69,2.50,17,,08/2024
15-2041.01,Biostatisticians,5,Job Zone Five: Extensive Preparation Needed,8.89,9.83,9.37,6.12,5.76,5.76,1.88,1.94,2.63,17,,08/2021
15-2051.01,Business Intelligence Analysts,4,Job Zone Four: Considerable Preparation Needed,8.29,7.71,7.54,4.25,5.25,5.25,2.24,1.62,2.12,17,,08/2024
15-2051.02,Clinical Data Managers,4,Job Zone Four: Considerable Preparation Needed,8.10,7.14,6.93,4.37,5.88,5.88,2.63,2.20,3.07,17,,07/2016
15-2099.01,Bioinformatics Technicians,4,Job Zone Four: Considerable Preparation Needed,7.90,8.50,8.08,6.12,6.25,6.25,1.63,1.32,3.19,17,,07/2014
17-1011.00,"Architects, Except Landscape and Naval",5,Job Zone Five: Extensive Preparation Needed,8.39,7.42,7.55,8.87,6.37,6.37,2.12,2.94,3.38,17,,08/2021
17-1012.00,Landscape Architects,4,Job Zone Four: Considerable Preparation Needed,8.11,6.54,6.54,8.37,4.88,4.88,2.24,2.93,3.12,17,,08/2025
17-1021.00,Cartographers and Photogrammetrists,4,Job Zone Four: Considerable Preparation Needed,7.52,6.53,6.53,6.63,6.00,6.00,2.00,3.13,3.88,17,,08/2018
17-1022.00,Surveyors,4,Job Zone Four: Considerable Preparation Needed,7.80,8.81,8.73,6.87,6.24,6.24,4.00,4.82,4.94,17,,08/2023
17-1022.01,Geodetic Surveyors,4,Job Zone Four: Considerable Preparation Needed,8.24,9.42,9.22,6.87,6.12,6.12,2.75,3.57,4.06,17,,08/2022
17-2011.00,Aerospace Engineers,4,Job Zone Four: Considerable Preparation Needed,8.62,9.03,8.53,6.63,6.12,6.12,1.50,1.25,2.88,17,,07/2015
